"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.891622019E2,3.624712372E0,4.295168152E0,1.034229309E1
1.891823549E2,3.583847351E0,3.666774902E0,1.252595215E1
1.892025089E2,3.003354492E0,2.876268768E0,1.498249374E1
1.892226629E2,1.895657959E0,3.181484070E0,1.531165924E1
1.892428169E2,1.548978882E0,4.162094879E0,1.306333466E1
1.892629709E2,2.430944824E0,5.568420410E0,1.118069962E1
1.892831249E2,2.379601593E0,6.613097992E0,1.053434372E1
1.893032789E2,1.135838013E0,6.237079926E0,9.842183075E0
1.893234319E2,-3.638932800E-1,5.338498535E0,8.800199890E0
1.893435859E2,-1.191073151E0,4.729864197E0,7.786507874E0
1.893637399E2,-1.675615540E0,4.605472870E0,6.754853210E0
1.893838939E2,-2.295326843E0,4.487368469E0,6.601871338E0
1.894040479E2,-2.582878876E0,4.096830597E0,7.378755798E0
1.894242019E2,-2.722987518E0,3.050057373E0,8.483159180E0
1.894443549E2,-3.147205353E0,1.603166199E0,9.546398163E0
1.894645089E2,-3.861370239E0,8.020321655E-1,9.959239655E0
1.894846629E2,-4.539609833E0,1.281036072E0,8.235124969E0
1.895048169E2,-4.562661896E0,2.671943665E0,6.629863129E0
1.895249709E2,-4.413422241E0,3.982917480E0,7.297624512E0
1.895451249E2,-5.369484100E0,4.285139008E0,1.008572662E1
1.895652789E2,-5.125790863E0,3.189567261E0,1.193782516E1
1.895854319E2,-3.803440704E0,1.949396210E0,1.348126556E1
1.896055859E2,-1.890119476E0,2.364333344E0,1.502186188E1
1.896257399E2,5.340893555E-1,2.782563629E0,1.490989471E1
1.896458939E2,2.073488159E0,3.042423248E0,1.353171066E1
1.896660479E2,3.302881622E0,2.878663788E0,1.248134491E1
1.896862019E2,4.025578766E0,2.602937164E0,1.213990494E1
1.897063549E2,4.393363953E0,2.274669800E0,1.112950607E1
1.897265089E2,4.748126221E0,2.140399017E0,8.947493591E0
1.897466629E2,4.899760895E0,2.220482483E0,6.686744843E0
1.897668169E2,4.419858856E0,2.159559174E0,4.764591980E0
1.897869703E2,3.987707520E0,1.974094849E0,3.844605103E0
1.898071243E2,3.862867126E0,1.597478027E0,4.280498657E0
1.898272783E2,3.367397461E0,1.222807159E0,5.084776154E0
1.898474313E2,2.942580872E0,1.348096619E0,7.093299408E0
1.898675853E2,2.506837006E0,2.881208496E0,7.640860748E0
1.898877393E2,2.267634430E0,4.245471497E0,7.884703674E0
1.899078933E2,1.210532684E0,4.189787292E0,9.431586914E0
1.899280473E2,4.764591980E-1,3.562741241E0,1.158545792E1
1.899482013E2,1.303788757E-1,3.056493988E0,1.369547012E1
1.899683543E2,-2.541714478E-1,3.483555908E0,1.434676575E1
1.899885083E2,-1.013991394E0,5.418582001E0,1.269345383E1
1.900086623E2,-5.857319641E-1,6.336772614E0,1.105975113E1
1.900288163E2,-7.454498291E-2,6.408473511E0,9.722282410E0
1.900489703E2,6.122268677E-1,5.362299042E0,1.005084915E1
1.900691243E2,8.872050476E-1,4.246519318E0,1.124401794E1
1.900892773E2,-4.328997803E-1,3.289858704E0,1.026280838E1
1.901094313E2,-1.507964172E0,2.852318573E0,7.828869781E0
1.901295853E2,-1.550176392E0,3.892206116E0,5.067861328E0
1.901497393E2,-1.978136444E0,4.600832520E0,4.349804535E0
1.901698933E2,-3.202141113E0,3.697161713E0,6.394103394E0
1.901900473E2,-4.208199005E0,2.187700653E0,8.756341095E0
1.902102013E2,-4.791685638E0,1.383273468E0,1.022942780E1
1.902303543E2,-3.985611877E0,1.552870789E0,9.738149414E0
1.902505083E2,-3.936663666E0,2.756966858E0,8.824748840E0
1.902706623E2,-4.488116913E0,4.361330566E0,7.330256653E0
1.902908163E2,-3.074007568E0,5.596711578E0,6.075416107E0
1.903109703E2,-1.368903351E0,5.223986664E0,1.055694672E1
1.903311243E2,-9.086105347E-1,5.052742767E0,1.664209259E1
1.903512773E2,1.122665405E-1,2.954705658E0,1.672621765E1
1.903714313E2,-1.249002686E0,3.445385284E0,1.320374268E1
1.903915853E2,-3.137475586E-1,4.938829651E0,1.046503784E1
1.904117393E2,9.138496399E-1,4.745282135E0,1.213451614E1
1.904318933E2,8.922944641E-1,3.421285400E0,1.291738815E1
1.904520473E2,3.134481812E-1,2.027683411E0,1.162811920E1
1.904722013E2,-2.649490356E-2,1.716929626E0,9.214238892E0
1.904923543E2,9.601034546E-1,1.805695038E0,7.046297150E0
1.905125083E2,8.014334106E-1,2.142794037E0,4.982688446E0
1.905326623E2,7.412585449E-1,1.678609314E0,3.863465881E0
1.905528163E2,9.231303406E-1,9.599537659E-1,3.775897980E0
