Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (°),Activity
10.97529912,51.99290304,5.940148411,26.86440659,0.0,343.828125,3.642939206,3.0,sitting
11.08355129,51.99326187,5.938804206,20.99941635,0.0,247.8515625,3.535533906,6.0,sitting
11.16727948,51.99280447,5.939466124,25.53628159,0.0,126.5625,3.537609998,4.0,sitting
11.20780194,51.99326267,5.938779227,22.34548569,0.0,178.9453125,3.535533906,4.0,sitting
11.30634189,51.99257305,5.939806346,26.86715317,0.0,101.25,3.535533906,3.0,sitting
11.36123681,51.99406763,5.937729226,24.19009018,0.0,151.875,3.867720423,4.0,sitting
11.49608123,51.99403452,5.93787876,32.10909653,0.0,315.3515625,5.963863319,8.0,sitting
11.50228691,51.99325684,5.938795153,22.04189689,0.0,,4.635548114,3.512297071,sitting
11.71072578,51.9932918,5.938813174,24.9305687,0.0,185.625,3.611474094,6.0,sitting
11.78569102,51.99258277,5.939856051,23.33572006,0.0,,4.346040066,6.0,sitting
11.97528374,51.99290321,5.940151764,27.16268539,0.0,343.828125,3.535533906,3.0,sitting
12.08354521,51.99326179,5.938799176,21.17110825,0.0,247.8515625,3.535533906,6.0,sitting
12.16729546,51.99280158,5.939465035,25.6606102,0.0,177.1875,3.535533906,3.0,sitting
12.20781219,51.99326267,5.938779227,22.34548569,0.0,178.9453125,3.535533906,4.0,sitting
12.30632842,51.99256651,5.93980073,26.86312485,0.0,101.25,3.535533906,4.0,sitting
12.36124539,51.99406758,5.937729394,24.26278305,0.0,151.875,3.773577982,4.0,sitting
12.49609387,51.9940346,5.93787834,32.07644272,0.0,315.3515625,6.098132102,8.0,sitting
12.50227833,51.99325684,5.938795153,22.04189689,0.0,,4.660596584,3.478990732,sitting
12.71073353,51.99329117,5.938814599,24.92635727,0.0,69.2578125,3.535533906,4.0,sitting
12.78568923,51.99258273,5.939855883,23.33065414,0.0,,4.1847676,6.0,sitting
12.97528517,51.99290288,5.940152267,27.24770737,0.0,343.828125,3.535533906,3.0,sitting
13.08355176,51.99326133,5.938795237,20.90237045,0.0,179.296875,3.535533906,4.0,sitting
13.16732335,51.99280158,5.939465035,25.66061027,0.0,,4.609406353,3.546534943,sitting
13.20782244,51.99326267,5.938779227,22.34548576,0.0,,4.28015254,4.066108996,sitting
13.30633032,51.9925632,5.93979788,26.86666489,0.0,101.25,3.535533906,3.0,sitting
13.36125052,51.99406758,5.937729394,24.26278312,0.0,,4.342473511,4.040524165,sitting
13.49610841,51.9940346,5.93787834,32.07644278,0.0,,6.098132102,8.0,sitting
13.50228715,51.99325684,5.938795153,22.04189689,0.0,,4.387077004,4.021870992,sitting
13.71073711,51.99329117,5.938814599,24.92635734,0.0,,4.280152924,4.06610917,sitting
13.78569889,51.99258273,5.939855883,23.33065421,0.0,,4.462127779,6.000814777,sitting
13.97528958,51.99290288,5.940152267,27.24770743,0.0,,4.609406402,3.54653488,sitting
14.08356106,51.99326133,5.938795237,20.90237052,0.0,,4.280152501,4.066109009,sitting
14.16733968,51.99280158,5.939465035,25.66061027,0.0,,4.609406351,3.546534947,sitting
14.20781815,51.99325462,5.938788531,22.35097892,0.0,,4.280152409,4.06610897,sitting
14.306337,51.9925632,5.93979788,26.86666495,0.0,,4.609405652,3.546535855,sitting
14.36123991,51.99406758,5.937729394,24.26278312,0.0,,4.299347379,4.058290854,sitting
14.49610364,51.9940346,5.93787834,32.07644278,0.0,,5.558977166,8.0,sitting
14.50228989,51.99325684,5.938795153,22.04189689,0.0,,4.403486584,4.014941393,sitting
14.71072865,51.99329117,5.938814599,24.92635734,0.0,,4.280152919,4.066109168,sitting
14.78569996,51.99258269,5.939855715,23.33285148,0.0,,4.400405758,6.000997611,sitting
14.97527492,51.99290342,5.940152938,27.14004142,0.0,,4.609406403,3.546534879,sitting
15.08355534,51.99326133,5.938795237,20.90237052,0.0,,4.280152495,4.066109002,sitting
15.16736424,51.99280158,5.939465035,25.66061027,0.0,,4.609406348,3.54653495,sitting
15.20783186,51.99325332,5.93879004,22.35128409,0.0,,4.609407697,3.546533197,sitting
15.30632281,51.9925632,5.93979788,26.86666495,0.0,,4.60940565,3.546535857,sitting
15.36124706,51.99406758,5.937729394,24.26278312,0.0,,4.609410071,3.546530111,sitting
15.49610639,51.9940346,5.93787834,32.07644278,0.0,,5.503652057,8.0,sitting
15.5022788,51.99325684,5.938795153,22.04189689,0.0,,4.380874169,4.02448055,sitting
15.71074021,51.99329117,5.938814599,24.92635734,0.0,,4.280152915,4.066109166,sitting
15.78568554,51.99258265,5.939855464,23.33730704,0.0,,4.353373221,4.035979455,sitting
15.9752748,51.99290342,5.940152938,27.14004142,0.0,,4.609406404,3.546534878,sitting
16.08356845,51.99326133,5.938795237,20.90237052,0.0,,4.280152489,4.066108996,sitting
16.16739106,51.99280158,5.939465035,25.66061027,0.0,,4.609406346,3.546534953,sitting
16.20784211,51.99325332,5.93879004,22.35128409,0.0,,4.609407696,3.546533198,sitting
16.30632794,51.9925632,5.93979788,26.86666495,0.0,,4.609405649,3.546535859,sitting
16.3612572,51.99406758,5.937729394,24.26278312,0.0,,4.609410071,3.546530111,sitting
16.49611807,51.99403494,5.937877502,31.99880607,0.0,,5.463383265,8.0,sitting
16.50226867,51.99325684,5.938795153,22.04189689,0.0,,4.368166451,4.029809951,sitting
16.71074533,51.99329117,5.938814599,24.92635734,0.0,,4.609407783,3.546533084,sitting
16.78569067,51.99258265,5.939855464,23.33730704,0.0,,4.324488954,4.047950322,sitting
16.97528017,51.99290342,5.940152938,27.14004142,0.0,,4.609406404,3.546534878,sitting
17.08357167,51.99326133,5.938795237,20.90237052,0.0,,4.609407715,3.546533174,sitting
17.16739893,51.99280158,5.939465035,25.66061027,0.0,,4.609406344,3.546534955,sitting
17.20783973,51.99325236,5.938791214,22.35360343,0.0,,4.609407694,3.546533201,sitting
17.30632794,51.9925632,5.93979788,26.86666495,0.0,,4.609405648,3.546535859,sitting
17.3612448,51.99406758,5.937729394,24.26278312,0.0,,4.609410071,3.546530111,sitting
17.49611187,51.99403494,5.937877502,31.99880607,0.0,,5.581808115,8.0,sitting
17.50225759,51.99325672,5.938795321,22.00155265,0.0,,4.357391587,4.034311124,sitting
17.71073592,51.99329117,5.938814599,24.92635734,0.0,,4.609407783,3.546533084,sitting
17.78569639,51.99258265,5.939855464,23.33730704,0.0,,4.280141156,4.066107165,sitting
17.9752686,51.99290342,5.940152938,27.14004142,0.0,,4.609406403,3.546534878,sitting
18.08356428,51.99326133,5.938795237,20.90237052,0.0,,4.609407714,3.546533174,sitting
18.16742349,51.99280158,5.939465035,25.66061027,0.0,,4.609406342,3.546534958,sitting
18.20784914,51.99325236,5.938791214,22.35360343,0.0,,4.609407694,3.546533201,sitting
18.30631709,51.9925632,5.93979788,26.86666495,0.0,,4.609405648,3.54653586,sitting
18.36124837,51.99406758,5.937729394,24.26278312,0.0,,4.609410072,3.546530111,sitting
18.49612379,51.99403494,5.937877502,31.99880607,0.0,,5.817977232,8.0,sitting
18.50224829,51.99325668,5.938795321,21.99319083,0.0,,4.364496175,4.031345012,sitting
18.710742,51.99329117,5.938814599,24.92635734,0.0,,4.609407783,3.546533084,sitting
18.7856828,51.99258265,5.939855464,23.33730704,0.0,,4.280141155,4.066107164,sitting
