"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.066739323E0,-3.104687333E-1,7.833802223E0,5.662315845E0
3.086498646E0,-5.126622319E-1,7.935796261E0,5.700600624E0
3.105910677E0,-5.787639618E-1,8.007580757E0,5.562714577E0
3.125657760E0,-6.565307379E-1,8.037490845E0,5.467001438E0
3.145417083E0,-6.469594240E-1,8.045866013E0,5.532804012E0
3.165161302E0,-6.086742878E-1,8.061419487E0,5.634798050E0
3.184909062E0,-5.632106066E-1,7.939385414E0,5.772385597E0
3.204668385E0,-5.234299302E-1,7.917850018E0,5.946164131E0
3.224455416E0,-4.660021961E-1,7.899903774E0,5.938985825E0
3.244193646E0,-4.001995921E-1,7.842176914E0,5.925825119E0
3.263952968E0,-3.008974493E-1,7.898707390E0,5.737689495E0
3.283714375E0,-3.128615618E-1,7.791927814E0,5.764010429E0
3.303462968E0,-3.176472187E-1,7.817052364E0,5.793920994E0
3.323222291E0,-3.487538993E-1,7.838587761E0,5.821438313E0
3.342978750E0,-3.559323549E-1,7.843373299E0,5.871687889E0
3.362757187E0,-3.451646566E-1,7.837391376E0,5.949753284E0
3.382516510E0,-3.702892959E-1,7.825427532E0,6.016752720E0
3.402279531E0,-3.858426511E-1,7.848159313E0,5.973681927E0
3.421992708E0,-3.930211067E-1,7.840980530E0,5.925825119E0
3.441752031E0,-2.841476798E-1,7.890033722E0,5.847759247E0
3.461538489E0,-3.080759048E-1,7.845766544E0,5.769992828E0
3.481287708E0,-2.168495506E-1,7.750053406E0,5.880062580E0
3.501047031E0,-1.893320978E-1,7.759624958E0,5.996413708E0
3.520817239E0,-1.606182158E-1,7.781160355E0,6.000002861E0
3.540571979E0,-2.036890239E-1,7.815855980E0,5.982056618E0
3.560331302E0,-2.455634177E-1,7.844570160E0,5.955735683E0
3.580057239E0,-2.216351926E-1,7.806284904E0,5.921039581E0
3.599811562E0,-1.450648755E-1,7.762017727E0,5.953342915E0
3.619570885E0,-1.857428551E-1,7.814659595E0,5.901896954E0
3.639352968E0,-2.108674943E-1,7.846962929E0,5.868098259E0
3.659096302E0,-1.606182158E-1,7.790731430E0,5.935396671E0
3.678855625E0,-1.331007630E-1,7.764410496E0,5.893223286E0
3.698606979E0,-1.630110443E-1,7.787142277E0,5.944967747E0
3.718421093E0,-2.168495506E-1,7.793124199E0,6.002395630E0
3.738180416E0,-2.096710801E-1,7.801498890E0,5.982056618E0
3.757886198E0,-2.599203587E-1,7.819445133E0,5.964110374E0
3.777636302E0,-1.749751568E-1,7.769196033E0,6.002395630E0
3.797395625E0,-1.677966863E-1,7.764410496E0,5.950950146E0
3.817197708E0,-1.677966863E-1,7.784749508E0,5.827420235E0
3.836980260E0,-1.917249113E-1,7.824231148E0,5.921039581E0
3.856739583E0,-1.390828192E-1,7.770392418E0,5.997610092E0
3.876471927E0,-1.414756328E-1,7.782356739E0,5.998806477E0
3.896207031E0,-2.132603228E-1,7.790731430E0,6.021538258E0
3.915966354E0,-2.192423791E-1,7.775177956E0,5.887240887E0
3.935715104E0,-1.462612897E-1,7.753642559E0,5.887240887E0
3.955494843E0,-1.474576890E-1,7.745267868E0,5.954539299E0
3.975254166E0,-1.893320978E-1,7.779963493E0,5.901896954E0
3.994969739E0,-2.168495506E-1,7.815855980E0,5.883651733E0
4.014756093E0,-1.917249113E-1,7.815855980E0,5.899504185E0
4.034515416E0,-1.965105534E-1,7.803892136E0,5.893223286E0
4.054304218E0,-1.965105534E-1,7.809874058E0,6.039484501E0
4.073996718E0,-1.582254022E-1,7.788338661E0,6.105287075E0
4.093755677E0,-9.002995491E-2,7.715357304E0,5.938985825E0
4.113528281E0,-1.163510010E-1,7.751249790E0,5.896812439E0
4.133285468E0,-1.067797095E-1,7.738089561E0,6.053841114E0
4.153044427E0,-1.390828192E-1,7.765606880E0,6.062216282E0
4.172809062E0,-1.594218016E-1,7.767999649E0,5.959324837E0
4.192566510E0,-1.773679852E-1,7.720143318E0,6.015556335E0
4.212325468E0,-1.295115203E-1,7.690232754E0,6.083751678E0
4.232095156E0,-3.499503061E-2,7.643572807E0,6.165107727E0
